road,id,model_type,name,lat,lon,length
N1,LRPS,source,source,23.7060278,90.443333,0.0
N1,LRP001a,bridge,bridge 1,23.69873866,90.4588610799999,11.3
N1,LRP004b,bridge,bridge 2,23.6946638363636,90.4877749181818,6.6
N1,LRP008b,bridge,bridge 3,23.7050598925675,90.5232141463513,394.23
N1,LRP010a,bridge,bridge 4,23.6964000869109,90.5350989801047,8.0
N1,LRP010b,bridge,bridge 5,23.6943906141361,90.5375740774869,6.3
N1,LRP010c,bridge,bridge 6,23.6943023869158,90.5377073719626,6.3
N1,LRP011a,bridge,bridge 7,23.6923601518691,90.5409183897196,8.3
N1,LRP011c,bridge,bridge 8,23.6909119315151,90.5454624957575,10.6
N1,LRP012a,bridge,bridge 9,23.6884123260204,90.5485585290816,9.3
N1,LRP012b,bridge,bridge 10,23.6883197331632,90.548649807653,6.1
N1,LRP013a,bridge,bridge 11,23.685583027027,90.551207981081,26.3
N1,LRP013b,bridge,bridge 12,23.6853619779342,90.5513591765258,27.5
N1,LRP014a,bridge,bridge 13,23.6778035,90.5558194349999,11.9
N1,LRP016a,bridge,bridge 14,23.6633090696149,90.563856994797,5.55
N1,LRP017b,bridge,bridge 15,23.6544257051136,90.576730225,159.5
N1,LRP018a,bridge,bridge 16,23.6515705663716,90.5814943946902,20.0
N1,LRP018b,bridge,bridge 17,23.65397226,90.57741042,20.45
N1,LRP018c,bridge,bridge 18,23.6497543993548,90.5845490085483,24.5
N1,LRP018d,bridge,bridge 19,23.6497543993548,90.5845490085483,25.5
N1,LRP019a,bridge,bridge 20,23.6459685949152,90.5892119813559,40.5
N1,LRP019b,bridge,bridge 21,23.6459685949152,90.5892119813559,40.33
N1,LRP020a,bridge,bridge 22,23.6379543715384,90.5936673976923,6.0
N1,LRP020b,bridge,bridge 23,23.63380522,90.597394085,10.4
N1,LRP021c,bridge,bridge 24,23.6284668507692,90.6023015723077,89.2
N1,LRP021d,bridge,bridge 25,23.6284668507692,90.6023015723077,89.75
N1,LRP022a,bridge,bridge 26,23.6198832229508,90.6083528852459,5.5
N1,LRP023a,bridge,bridge 27,23.6176407964705,90.6095506105882,224.8
N1,LRP023b,bridge,bridge 28,23.6176407964705,90.6095506105882,224.82
N1,LRP023c,bridge,bridge 29,23.613587384385,90.6109029561497,116.8
N1,LRP023d,bridge,bridge 30,23.613587384385,90.6109029561497,119.32
N1,LRP024a,bridge,bridge 31,23.6027595885583,90.6155316965675,924.85
N1,LRP026a,bridge,bridge 32,23.5929818827893,90.6279699370919,5.6
N1,LRP026b,bridge,bridge 33,23.5908088547468,90.6302368598101,5.5
N1,LRP027a,bridge,bridge 34,23.58631812254,90.6345094207093,5.6
N1,LRP028a,bridge,bridge 35,23.5779800248475,90.6419193089939,173.25
N1,LRP028b,bridge,bridge 36,23.5779800248475,90.6419193089939,172.1
N1,LRP029a,bridge,bridge 37,23.5716306256965,90.6454159236842,29.85
N1,LRP029b,bridge,bridge 38,23.5716306256965,90.6454159236842,29.77
N1,LRP030a,bridge,bridge 39,23.5660033956521,90.6486237247282,34.7
N1,LRP031a,bridge,bridge 40,23.5591910296296,90.6557475703703,26.3
N1,LRP032a,bridge,bridge 41,23.5557082901265,90.6597414245569,29.85
N1,LRP032b,bridge,bridge 42,23.5557082901265,90.6597414245569,29.83
N1,LRP032d,bridge,bridge 43,23.5517421907216,90.6643538752577,29.87
N1,LRP032e,bridge,bridge 44,23.5517421907216,90.6643538752577,29.9
N1,LRP033a,bridge,bridge 45,23.5477377446428,90.6690554098214,9.1
N1,LRP033b,bridge,bridge 46,23.5476246437499,90.669192065625,5.2
N1,LRP034a,bridge,bridge 47,23.54268543125,90.6748292125,70.0
N1,LRP034b,bridge,bridge 48,23.54268543125,90.6748292125,59.83
N1,LRP034c,bridge,bridge 49,23.5393910168,90.6784577888,5.1
N1,LRP035a,bridge,bridge 50,23.5327751898617,90.6858701078341,9.5
N1,LRP036a,bridge,bridge 51,23.5313996605222,90.68744892596,25.45
N1,LRP036b,bridge,bridge 52,23.5313996605222,90.68744892596,25.45
N1,LRP036c,bridge,bridge 53,23.5301519626506,90.6897951837349,8.4
N1,LRP037a,bridge,bridge 54,23.5303844733,90.7024402743,1408.8
N1,LRP040b,bridge,bridge 55,23.5324186,90.7242807234,23.1
N1,LRP040c,bridge,bridge 56,23.5317587831999,90.7291780095,6.0
N1,LRP043a,bridge,bridge 57,23.5298050611,90.75825325,16.5
N1,LRP046a,bridge,bridge 58,23.5307655282208,90.7800797251533,3.9
N1,LRP047a,bridge,bridge 59,23.5308683409424,90.7918075171727,6.5
N1,LRP049a,bridge,bridge 60,23.5318234765,90.8110155135,15.9
N1,LRP051a,bridge,bridge 61,23.5329743291,90.8309774761999,12.2
N1,LRP053a,bridge,bridge 62,23.5229166652,90.8442186132,4.5
N1,LRP056a,bridge,bridge 63,23.510087758207,90.8757204035353,28.9
N1,LRP059a,bridge,bridge 64,23.5060024341,90.9021745389,5.9
N1,LRP061a,bridge,bridge 65,23.5056131416,90.9214660218,3.0
N1,LRP064a,bridge,bridge 66,23.5024077848,90.9432418928,6.0
N1,LRP064c,bridge,bridge 67,23.5013551924,90.9473844088999,3.0
N1,LRP067a,bridge,bridge 68,23.495896314,90.9715772516,4.6
N1,LRP068a,bridge,bridge 69,23.4932728146,90.9887200416,4.5
N1,LRP072a,bridge,bridge 70,23.4868805937254,91.017566692647,22.55
N1,LRP075a,bridge,bridge 71,23.4817873233065,91.0463348850746,4.6
