Step,AgentID,Delay time
0,1000000,
0,1000001,
0,1000002,6.0
0,1000003,
0,1000004,3.0
0,1000005,
0,1000006,1.0
0,1000007,
0,1000008,9.0
0,1000009,
0,1000010,
1,1000000,
1,1000001,
1,1000002,6.0
1,1000003,
1,1000004,3.0
1,1000005,
1,1000006,1.0
1,1000007,
1,1000008,9.0
1,1000009,
1,1000010,
1,Truck0,
2,1000000,
2,1000001,
2,1000002,6.0
2,1000003,
2,1000004,3.0
2,1000005,
2,1000006,1.0
2,1000007,
2,1000008,9.0
2,1000009,
2,1000010,
2,Truck0,
3,1000000,
3,1000001,
3,1000002,6.0
3,1000003,
3,1000004,3.0
3,1000005,
3,1000006,1.0
3,1000007,
3,1000008,9.0
3,1000009,
3,1000010,
3,Truck0,
4,1000000,
4,1000001,
4,1000002,6.0
4,1000003,
4,1000004,3.0
4,1000005,
4,1000006,1.0
4,1000007,
4,1000008,9.0
4,1000009,
4,1000010,
4,Truck0,
5,1000000,
5,1000001,
5,1000002,6.0
5,1000003,
5,1000004,3.0
5,1000005,
5,1000006,1.0
5,1000007,
5,1000008,9.0
5,1000009,
5,1000010,
5,Truck0,
6,1000000,
6,1000001,
6,1000002,6.0
6,1000003,
6,1000004,3.0
6,1000005,
6,1000006,1.0
6,1000007,
6,1000008,9.0
6,1000009,
6,1000010,
6,Truck0,
6,Truck1,
7,1000000,
7,1000001,
7,1000002,6.0
7,1000003,
7,1000004,3.0
7,1000005,
7,1000006,1.0
7,1000007,
7,1000008,9.0
7,1000009,
7,1000010,
7,Truck0,
7,Truck1,
8,1000000,
8,1000001,
8,1000002,6.0
8,1000003,
8,1000004,3.0
8,1000005,
8,1000006,1.0
8,1000007,
8,1000008,9.0
8,1000009,
8,1000010,
8,Truck0,
8,Truck1,
9,1000000,
9,1000001,
9,1000002,6.0
9,1000003,
9,1000004,3.0
9,1000005,
9,1000006,1.0
9,1000007,
9,1000008,9.0
9,1000009,
9,1000010,
9,Truck0,
9,Truck1,
10,1000000,
10,1000001,
10,1000002,6.0
10,1000003,
10,1000004,3.0
10,1000005,
10,1000006,1.0
10,1000007,
10,1000008,9.0
10,1000009,
10,1000010,
10,Truck0,
10,Truck1,
11,1000000,
11,1000001,
11,1000002,6.0
11,1000003,
11,1000004,3.0
11,1000005,
11,1000006,1.0
11,1000007,
11,1000008,9.0
11,1000009,
11,1000010,
11,Truck0,
11,Truck1,
11,Truck2,
12,1000000,
12,1000001,
12,1000002,6.0
12,1000003,
12,1000004,3.0
12,1000005,
12,1000006,1.0
12,1000007,
12,1000008,9.0
12,1000009,
12,1000010,
12,Truck0,
12,Truck1,
12,Truck2,
13,1000000,
13,1000001,
13,1000002,6.0
13,1000003,
13,1000004,3.0
13,1000005,
13,1000006,1.0
13,1000007,
13,1000008,9.0
13,1000009,
13,1000010,
13,Truck0,
13,Truck1,
13,Truck2,
14,1000000,
14,1000001,
14,1000002,6.0
14,1000003,
14,1000004,3.0
14,1000005,
14,1000006,1.0
14,1000007,
14,1000008,9.0
14,1000009,
14,1000010,
14,Truck0,
14,Truck1,
14,Truck2,
15,1000000,
15,1000001,
15,1000002,6.0
15,1000003,
15,1000004,3.0
15,1000005,
15,1000006,1.0
15,1000007,
15,1000008,9.0
15,1000009,
15,1000010,
15,Truck0,
15,Truck1,
15,Truck2,
16,1000000,
16,1000001,
16,1000002,6.0
16,1000003,
16,1000004,3.0
16,1000005,
16,1000006,1.0
16,1000007,
16,1000008,9.0
16,1000009,
16,1000010,
16,Truck0,
16,Truck1,
16,Truck2,
16,Truck3,
17,1000000,
17,1000001,
17,1000002,6.0
17,1000003,
17,1000004,3.0
17,1000005,
17,1000006,1.0
17,1000007,
17,1000008,9.0
17,1000009,
17,1000010,
17,Truck0,
17,Truck1,
17,Truck2,
17,Truck3,
18,1000000,
18,1000001,
18,1000002,6.0
18,1000003,
18,1000004,3.0
18,1000005,
18,1000006,1.0
18,1000007,
18,1000008,9.0
18,1000009,
18,1000010,
18,Truck0,
18,Truck1,
18,Truck2,
18,Truck3,
19,1000000,
19,1000001,
19,1000002,6.0
19,1000003,
19,1000004,3.0
19,1000005,
19,1000006,1.0
19,1000007,
19,1000008,9.0
19,1000009,
19,1000010,
19,Truck0,
19,Truck1,
19,Truck2,
19,Truck3,
20,1000000,
20,1000001,
20,1000002,6.0
20,1000003,
20,1000004,3.0
20,1000005,
20,1000006,1.0
20,1000007,
20,1000008,9.0
20,1000009,
20,1000010,
20,Truck0,
20,Truck1,
20,Truck2,
20,Truck3,
21,1000000,
21,1000001,
21,1000002,6.0
21,1000003,
21,1000004,3.0
21,1000005,
21,1000006,1.0
21,1000007,
21,1000008,9.0
21,1000009,
21,1000010,
21,Truck0,
21,Truck1,
21,Truck2,
21,Truck3,
21,Truck4,
22,1000000,
22,1000001,
22,1000002,6.0
22,1000003,
22,1000004,3.0
22,1000005,
22,1000006,1.0
22,1000007,
22,1000008,9.0
22,1000009,
22,1000010,
22,Truck0,
22,Truck1,
22,Truck2,
22,Truck3,
22,Truck4,23,1000000,
23,1000001,
23,1000002,6.0
23,1000003,
23,1000004,3.0
23,1000005,
23,1000006,1.0
23,1000007,
23,1000008,9.0
23,1000009,
23,1000010,
23,Truck0,
23,Truck1,
23,Truck2,
23,Truck3,
23,Truck4,
24,1000000,
24,1000001,
24,1000002,6.0
24,1000003,
24,1000004,3.0
24,1000005,
24,1000006,1.0
24,1000007,
24,1000008,9.0
24,1000009,
24,1000010,
24,Truck0,
24,Truck1,
24,Truck2,
24,Truck3,
24,Truck4,
25,1000000,
25,1000001,
25,1000002,6.0
25,1000003,
25,1000004,3.0
25,1000005,
25,1000006,1.0
25,1000007,
25,1000008,9.0
25,1000009,
25,1000010,
25,Truck0,
25,Truck1,
25,Truck2,
25,Truck3,
25,Truck4,
26,1000000,
26,1000001,
26,1000002,6.0
26,1000003,
26,1000004,3.0
26,1000005,
26,1000006,1.0
26,1000007,
26,1000008,9.0
26,1000009,
26,1000010,
26,Truck0,
26,Truck1,
26,Truck2,
26,Truck3,
26,Truck4,
26,Truck5,
27,1000000,
27,1000001,
27,1000002,6.0
27,1000003,
27,1000004,3.0
27,1000005,
27,1000006,1.0
27,1000007,
27,1000008,9.0
27,1000009,
27,1000010,
27,Truck0,
27,Truck1,
27,Truck2,
27,Truck3,
27,Truck4,
27,Truck5,
28,1000000,
28,1000001,
28,1000002,6.0
28,1000003,
28,1000004,3.0
28,1000005,
28,1000006,1.0
28,1000007,
28,1000008,9.0
28,1000009,
28,1000010,
28,Truck0,
28,Truck1,
28,Truck2,
28,Truck3,
28,Truck4,
28,Truck5,
29,1000000,
29,1000001,
29,1000002,6.0
29,1000003,
29,1000004,3.0
29,1000005,
29,1000006,1.0
29,1000007,
29,1000008,9.0
29,1000009,
29,1000010,
29,Truck0,
29,Truck1,
29,Truck2,
29,Truck3,
29,Truck4,
29,Truck5,
30,1000000,
30,1000001,
30,1000002,6.0
30,1000003,
30,1000004,3.0
30,1000005,
30,1000006,1.0
30,1000007,
30,1000008,9.0
30,1000009,
30,1000010,
30,Truck0,
30,Truck1,
30,Truck2,
30,Truck3,
30,Truck4,
30,Truck5,
31,1000000,
31,1000001,
31,1000002,6.0
31,1000003,
31,1000004,3.0
31,1000005,
31,1000006,1.0
31,1000007,
31,1000008,9.0
31,1000009,
31,1000010,
31,Truck1,
31,Truck2,
31,Truck3,
31,Truck4,
31,Truck5,
31,Truck6,
32,1000000,
32,1000001,
32,1000002,6.0
32,1000003,
32,1000004,3.0
32,1000005,
32,1000006,1.0
32,1000007,
32,1000008,9.0
32,1000009,
32,1000010,
32,Truck1,
32,Truck2,
32,Truck3,
32,Truck4,
32,Truck5,
32,Truck6,
33,1000000,
33,1000001,
33,1000002,6.0
33,1000003,
33,1000004,3.0
33,1000005,
33,1000006,1.0
33,1000007,
33,1000008,9.0
33,1000009,
33,1000010,
33,Truck1,
33,Truck2,
33,Truck3,
33,Truck4,
33,Truck5,
33,Truck6,
34,1000000,
34,1000001,
34,1000002,6.0
34,1000003,
34,1000004,3.0
34,1000005,
34,1000006,1.0
34,1000007,
34,1000008,9.0
34,1000009,
34,1000010,
34,Truck1,
34,Truck2,
34,Truck3,
34,Truck4,
34,Truck5,
34,Truck6,
35,1000000,
35,1000001,
35,1000002,6.0
35,1000003,
35,1000004,3.0
35,1000005,
35,1000006,1.0
35,1000007,
35,1000008,9.0
35,1000009,
35,1000010,
35,Truck1,
35,Truck2,
35,Truck3,
35,Truck4,
35,Truck5,
35,Truck6,
36,1000000,
36,1000001,
36,1000002,6.0
36,1000003,
36,1000004,3.0
36,1000005,
36,1000006,1.0
36,1000007,
36,1000008,9.0
36,1000009,
36,1000010,
36,Truck2,
36,Truck3,
36,Truck4,
36,Truck5,
36,Truck6,
36,Truck7,
37,1000000,
37,1000001,
37,1000002,6.0
37,1000003,
37,1000004,3.0
37,1000005,
37,1000006,1.0
37,1000007,
37,1000008,9.0
37,1000009,
37,1000010,
37,Truck2,
37,Truck3,
37,Truck4,
37,Truck5,
37,Truck6,
37,Truck7,
38,1000000,
38,1000001,
38,1000002,6.0
38,1000003,
38,1000004,3.0
38,1000005,
38,1000006,1.0
38,1000007,
38,1000008,9.0
38,1000009,
38,1000010,
38,Truck2,
38,Truck3,
38,Truck4,
38,Truck5,
38,Truck6,
38,Truck7,
39,1000000,
39,1000001,
39,1000002,6.0
39,1000003,
39,1000004,3.0
39,1000005,
39,1000006,1.0
39,1000007,
39,1000008,9.0
39,1000009,
39,1000010,
39,Truck2,
39,Truck3,
39,Truck4,
39,Truck5,
39,Truck6,
39,Truck7,
40,1000000,
40,1000001,
40,1000002,6.0
40,1000003,
40,1000004,3.0
40,1000005,
40,1000006,1.0
40,1000007,
40,1000008,9.0
40,1000009,
40,1000010,
40,Truck2,
40,Truck3,
40,Truck4,
40,Truck5,
40,Truck6,
40,Truck7,
41,1000000,
41,1000001,
41,1000002,6.0
41,1000003,
41,1000004,3.0
41,1000005,
41,1000006,1.0
41,1000007,
41,1000008,9.0
41,1000009,
41,1000010,
41,Truck3,
41,Truck4,
41,Truck5,
41,Truck6,
41,Truck7,
41,Truck8,
42,1000000,
42,1000001,
42,1000002,6.0
42,1000003,
42,1000004,3.0
42,1000005,
42,1000006,1.0
42,1000007,
42,1000008,9.0
42,1000009,
42,1000010,
42,Truck3,
42,Truck4,
42,Truck5,
42,Truck6,
42,Truck7,
42,Truck8,
43,1000000,
43,1000001,
43,1000002,6.0
43,1000003,
43,1000004,3.0
43,1000005,
43,1000006,1.0
43,1000007,
43,1000008,9.0
43,1000009,
43,1000010,
43,Truck3,
43,Truck4,
43,Truck5,
43,Truck6,
43,Truck7,
43,Truck8,
44,1000000,
44,1000001,
44,1000002,6.0
44,1000003,
44,1000004,3.0
44,1000005,
44,1000006,1.0
44,1000007,
44,1000008,9.0
44,1000009,
44,1000010,
44,Truck3,
44,Truck4,
44,Truck5,
44,Truck6,
44,Truck7,
44,Truck8,
45,1000000,
45,1000001,
45,1000002,6.0
45,1000003,
45,1000004,3.0
45,1000005,
45,1000006,1.0
45,1000007,
45,1000008,9.0
45,1000009,
45,1000010,
45,Truck3,
45,Truck4,
45,Truck5,
45,Truck6,
45,Truck7,
45,Truck8,
46,1000000,
46,1000001,
46,1000002,6.0
46,1000003,
46,1000004,3.0
46,1000005,
46,1000006,1.0
46,1000007,
46,1000008,9.0
46,1000009,
46,1000010,
46,Truck4,
46,Truck5,
46,Truck6,
46,Truck7,
46,Truck8,
46,Truck9,
47,1000000,
47,1000001,
47,1000002,6.0
47,1000003,
47,1000004,3.0
47,1000005,
47,1000006,1.0
47,1000007,
47,1000008,9.0
47,1000009,
47,1000010,
47,Truck4,
47,Truck5,
47,Truck6,
47,Truck7,
47,Truck8,
47,Truck9,
48,1000000,
48,1000001,
48,1000002,6.0
48,1000003,
48,1000004,3.0
48,1000005,
48,1000006,1.0
48,1000007,
48,1000008,9.0
48,1000009,
48,1000010,
48,Truck4,
48,Truck5,
48,Truck6,
48,Truck7,
48,Truck8,
48,Truck9,
49,1000000,
49,1000001,
49,1000002,6.0
49,1000003,
49,1000004,3.0
49,1000005,
49,1000006,1.0
49,1000007,
49,1000008,9.0
49,1000009,
49,1000010,
49,Truck4,
49,Truck5,
49,Truck6,
49,Truck7,
49,Truck8,
49,Truck9,
50,1000000,
50,1000001,
50,1000002,6.0
50,1000003,
50,1000004,3.0
50,1000005,
50,1000006,1.0
50,1000007,
50,1000008,9.0
50,1000009,
50,1000010,
50,Truck4,
50,Truck5,
50,Truck6,
50,Truck7,
50,Truck8,
50,Truck9,
51,1000000,
51,1000001,
51,1000002,6.0
51,1000003,
51,1000004,3.0
51,1000005,
51,1000006,1.0
51,1000007,
51,1000008,9.0
51,1000009,
51,1000010,
51,Truck5,
51,Truck6,
51,Truck7,
51,Truck8,
51,Truck9,
51,Truck10,
52,1000000,
52,1000001,
52,1000002,6.0
52,1000003,
52,1000004,3.0
52,1000005,
52,1000006,1.0
52,1000007,
52,1000008,9.0
52,1000009,
52,1000010,
52,Truck5,
52,Truck6,
52,Truck7,
52,Truck8,
52,Truck9,
52,Truck10,
53,1000000,
53,1000001,
53,1000002,6.0
53,1000003,
53,1000004,3.0
53,1000005,
53,1000006,1.0
53,1000007,
53,1000008,9.0
53,1000009,
53,1000010,
53,Truck5,
53,Truck6,
53,Truck7,
53,Truck8,
53,Truck9,
53,Truck10,
54,1000000,
54,1000001,
54,1000002,6.0
54,1000003,
54,1000004,3.0
54,1000005,
54,1000006,1.0
54,1000007,
54,1000008,9.0
54,1000009,
54,1000010,
54,Truck5,
54,Truck6,
54,Truck7,
54,Truck8,
54,Truck9,
54,Truck10,
55,1000000,
55,1000001,
55,1000002,6.0
55,1000003,
55,1000004,3.0
55,1000005,
55,1000006,1.0
55,1000007,
55,1000008,9.0
55,1000009,
55,1000010,
55,Truck5,
55,Truck6,
55,Truck7,
55,Truck8,
55,Truck9,
55,Truck10,
56,1000000,
56,1000001,
56,1000002,6.0
56,1000003,
56,1000004,3.0
56,1000005,
56,1000006,1.0
56,1000007,
56,1000008,9.0
56,1000009,
56,1000010,
56,Truck6,
56,Truck7,
56,Truck8,
56,Truck9,
56,Truck10,
56,Truck11,
57,1000000,
57,1000001,
57,1000002,6.0
57,1000003,
57,1000004,3.0
57,1000005,
57,1000006,1.0
57,1000007,
57,1000008,9.0
57,1000009,
57,1000010,
57,Truck6,
57,Truck7,
57,Truck8,
57,Truck9,
57,Truck10,
57,Truck11,
58,1000000,
58,1000001,
58,1000002,6.0
58,1000003,
58,1000004,3.0
58,1000005,
58,1000006,1.0
58,1000007,
58,1000008,9.0
58,1000009,
58,1000010,
58,Truck6,
58,Truck7,
58,Truck8,
58,Truck9,
58,Truck10,
58,Truck11,
59,1000000,
59,1000001,
59,1000002,6.0
59,1000003,
59,1000004,3.0
59,1000005,
59,1000006,1.0
59,1000007,
59,1000008,9.0
59,1000009,
59,1000010,
59,Truck6,
59,Truck7,
59,Truck8,
59,Truck9,
59,Truck10,
59,Truck11,
60,1000000,
60,1000001,
60,1000002,6.0
60,1000003,
60,1000004,3.0
60,1000005,
60,1000006,1.0
60,1000007,
60,1000008,9.0
60,1000009,
60,1000010,
60,Truck6,
60,Truck7,
60,Truck8,
