Step,AgentID,Delay time,Driving time of cars leaving
298,200000,,"[['Truck95041', 297]]"
298,200412,,"[['Truck95040', 297]]"
303,200000,,"[['Truck95043', 297]]"
303,200412,,"[['Truck95042', 297]]"
308,200000,,"[['Truck95045', 297]]"
308,200412,,"[['Truck95044', 297]]"
313,200000,,"[['Truck95047', 297]]"
313,200412,,"[['Truck95046', 297]]"
318,200000,,"[['Truck95049', 297]]"
318,200412,,"[['Truck95048', 297]]"
323,200000,,"[['Truck95051', 297]]"
323,200412,,"[['Truck95050', 297]]"
328,200000,,"[['Truck95053', 297]]"
328,200412,,"[['Truck95052', 297]]"
333,200000,,"[['Truck95055', 297]]"
333,200412,,"[['Truck95054', 297]]"
338,200000,,"[['Truck95057', 297]]"
338,200412,,"[['Truck95056', 297]]"
343,200000,,"[['Truck95059', 297]]"
343,200412,,"[['Truck95058', 297]]"
348,200000,,"[['Truck95061', 297]]"
348,200412,,"[['Truck95060', 297]]"
353,200000,,"[['Truck95063', 297]]"
353,200412,,"[['Truck95062', 297]]"
358,200000,,"[['Truck95065', 297]]"
358,200412,,"[['Truck95064', 297]]"
363,200000,,"[['Truck95067', 297]]"
363,200412,,"[['Truck95066', 297]]"
368,200000,,"[['Truck95069', 297]]"
368,200412,,"[['Truck95068', 297]]"
373,200000,,"[['Truck95071', 297]]"
373,200412,,"[['Truck95070', 297]]"
378,200000,,"[['Truck95073', 297]]"
378,200412,,"[['Truck95072', 297]]"
383,200000,,"[['Truck95075', 297]]"
383,200412,,"[['Truck95074', 297]]"
388,200000,,"[['Truck95077', 297]]"
388,200412,,"[['Truck95076', 297]]"
393,200000,,"[['Truck95079', 297]]"
393,200412,,"[['Truck95078', 297]]"
398,200000,,"[['Truck95081', 297]]"
398,200412,,"[['Truck95080', 297]]"
403,200000,,"[['Truck95083', 297]]"
403,200412,,"[['Truck95082', 297]]"
408,200000,,"[['Truck95085', 297]]"
408,200412,,"[['Truck95084', 297]]"
413,200000,,"[['Truck95087', 297]]"
413,200412,,"[['Truck95086', 297]]"
418,200000,,"[['Truck95089', 297]]"
418,200412,,"[['Truck95088', 297]]"
423,200000,,"[['Truck95091', 297]]"
423,200412,,"[['Truck95090', 297]]"
428,200000,,"[['Truck95093', 297]]"
428,200412,,"[['Truck95092', 297]]"
433,200000,,"[['Truck95095', 297]]"
433,200412,,"[['Truck95094', 297]]"
438,200000,,"[['Truck95097', 297]]"
438,200412,,"[['Truck95096', 297]]"
443,200000,,"[['Truck95099', 297]]"
443,200412,,"[['Truck95098', 297]]"
448,200000,,"[['Truck95101', 297]]"
448,200412,,"[['Truck95100', 297]]"
453,200000,,"[['Truck95103', 297]]"
453,200412,,"[['Truck95102', 297]]"
458,200000,,"[['Truck95105', 297]]"
458,200412,,"[['Truck95104', 297]]"
463,200000,,"[['Truck95107', 297]]"
463,200412,,"[['Truck95106', 297]]"
468,200000,,"[['Truck95109', 297]]"
468,200412,,"[['Truck95108', 297]]"
473,200000,,"[['Truck95111', 297]]"
473,200412,,"[['Truck95110', 297]]"
478,200000,,"[['Truck95113', 297]]"
478,200412,,"[['Truck95112', 297]]"
483,200000,,"[['Truck95115', 297]]"
483,200412,,"[['Truck95114', 297]]"
488,200000,,"[['Truck95117', 297]]"
488,200412,,"[['Truck95116', 297]]"
493,200000,,"[['Truck95119', 297]]"
493,200412,,"[['Truck95118', 297]]"
498,200000,,"[['Truck95121', 297]]"
498,200412,,"[['Truck95120', 297]]"
503,200000,,"[['Truck95123', 297]]"
503,200412,,"[['Truck95122', 297]]"
508,200000,,"[['Truck95125', 297]]"
508,200412,,"[['Truck95124', 297]]"
513,200000,,"[['Truck95127', 297]]"
513,200412,,"[['Truck95126', 297]]"
518,200000,,"[['Truck95129', 297]]"
518,200412,,"[['Truck95128', 297]]"
523,200000,,"[['Truck95131', 297]]"
523,200412,,"[['Truck95130', 297]]"
528,200000,,"[['Truck95133', 297]]"
528,200412,,"[['Truck95132', 297]]"
533,200000,,"[['Truck95135', 297]]"
533,200412,,"[['Truck95134', 297]]"
538,200000,,"[['Truck95137', 297]]"
538,200412,,"[['Truck95136', 297]]"
543,200000,,"[['Truck95139', 297]]"
543,200412,,"[['Truck95138', 297]]"
548,200000,,"[['Truck95141', 297]]"
548,200412,,"[['Truck95140', 297]]"
553,200000,,"[['Truck95143', 297]]"
553,200412,,"[['Truck95142', 297]]"
558,200000,,"[['Truck95145', 297]]"
558,200412,,"[['Truck95144', 297]]"
563,200000,,"[['Truck95147', 297]]"
563,200412,,"[['Truck95146', 297]]"
568,200000,,"[['Truck95149', 297]]"
568,200412,,"[['Truck95148', 297]]"
573,200000,,"[['Truck95151', 297]]"
573,200412,,"[['Truck95150', 297]]"
578,200000,,"[['Truck95153', 297]]"
578,200412,,"[['Truck95152', 297]]"
583,200000,,"[['Truck95155', 297]]"
583,200412,,"[['Truck95154', 297]]"
588,200000,,"[['Truck95157', 297]]"
588,200412,,"[['Truck95156', 297]]"
593,200000,,"[['Truck95159', 297]]"
593,200412,,"[['Truck95158', 297]]"
598,200000,,"[['Truck95161', 297]]"
598,200412,,"[['Truck95160', 297]]"
603,200000,,"[['Truck95163', 297]]"
603,200412,,"[['Truck95162', 297]]"
608,200000,,"[['Truck95165', 297]]"
608,200412,,"[['Truck95164', 297]]"
613,200000,,"[['Truck95167', 297]]"
613,200412,,"[['Truck95166', 297]]"
618,200000,,"[['Truck95169', 297]]"
618,200412,,"[['Truck95168', 297]]"
623,200000,,"[['Truck95171', 297]]"
623,200412,,"[['Truck95170', 297]]"
628,200000,,"[['Truck95173', 297]]"
628,200412,,"[['Truck95172', 297]]"
633,200000,,"[['Truck95175', 297]]"
633,200412,,"[['Truck95174', 297]]"
